RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5dea8601152165018287b658,"06/08/2022, 13:47:18"
5849,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2916,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2400,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2929,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2635,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2776,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2096,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2870,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2923,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
5420,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2442,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5dea8601152165018287b658,"06/08/2022, 13:47:18"
1945,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2245,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2021,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2909,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2363,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
3009,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2717,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2261,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2220,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2266,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
3809,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2442,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
3024,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2122,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2366,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2847,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2610,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
4009,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5dea8601152165018287b658,"06/08/2022, 13:47:18"
6510,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2259,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2898,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5dea8601152165018287b658,"06/08/2022, 13:47:18"
4427,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2437,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2321,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5dea8601152165018287b658,"06/08/2022, 13:47:18"
7624,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
6098,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
5281,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
22801,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
5754,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2061,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2646,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2835,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5dea8601152165018287b658,"06/08/2022, 13:47:18"
1730,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5dea8601152165018287b658,"06/08/2022, 13:47:18"
1967,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2854,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
1855,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2005,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5dea8601152165018287b658,"06/08/2022, 13:47:18"
2444,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5dea8601152165018287b658,"06/08/2022, 13:47:18"
3475,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dea8601152165018287b658,"06/08/2022, 13:47:18"
